Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
93,Lance Key\Lance-Key,us USA,DF,Colorado Rapids,21,21,21,0,1940,92,0,1,0,0,35,6,0,2,0.00,0.05,0.00,0.05,0.09,1.62,0.28
94,Junior Agogo\Junior-Agogo,gh GHA,FW,Colorado Rapids,20,22,21,1,1936,88,10,7,1,3,44,2,0,48,0.46,0.79,0.42,0.74,2.23,2.05,0.09
95,Mike Lapper\Mike-Lapper,us USA,DF,Columbus Crew,29,24,20,4,1923,80,1,1,0,0,37,4,0,3,0.05,0.09,0.05,0.09,0.14,1.73,0.19
96,Ted Eck\Ted-Eck,us USA,MFFW,Dallas Burn,33,29,22,7,1918,66,3,1,0,0,45,5,0,7,0.14,0.19,0.14,0.19,0.33,2.11,0.23
97,Josh Wolff\Josh-Wolff,us USA,FW,Chicago Fire,22,25,20,5,1917,77,7,4,0,1,28,4,0,26,0.33,0.52,0.33,0.52,1.22,1.31,0.19
98,Ian Russell\Ian-Russell,us USA,MF,San Jose Earthquakes,24,28,20,8,1917,69,2,2,0,0,32,2,0,8,0.09,0.19,0.09,0.19,0.38,1.50,0.09
99,Jason Bent\Jason-Bent,ca CAN,MF,Colorado Rapids,22,21,21,0,1897,90,2,1,0,0,24,2,1,5,0.09,0.14,0.09,0.14,0.24,1.14,0.14
100,Ezra Hendrickson\Ezra-Hendrickson,vc VIN,DF,LA Galaxy,28,22,20,2,1867,85,1,2,0,0,40,3,3,5,0.05,0.14,0.05,0.14,0.24,1.93,0.29
101,Roy Lassiter\Roy-Lassiter,us USA,FWMF,Miami Fusion,30,27,20,7,1838,68,8,2,1,1,18,3,1,38,0.39,0.49,0.34,0.44,1.86,0.88,0.20
102,Chad McCarty\Chad-McCarty,us USA,MF,Tampa Bay Mutiny,22,22,22,0,1830,83,0,0,0,0,34,7,1,3,0.00,0.00,0.00,0.00,0.15,1.67,0.39
103,Chris Albright\Chris-Albright,us USA,DF,D.C. United,21,25,21,4,1823,73,3,1,0,0,45,2,0,17,0.15,0.20,0.15,0.20,0.84,2.22,0.10
104,Marco Etcheverry\Marco-Etcheverry,bo BOL,MF,D.C. United,29,22,20,2,1810,82,4,7,1,1,25,6,1,16,0.20,0.55,0.15,0.50,0.80,1.24,0.35
105,David Kramer\David-Kramer,us USA,GK,Colorado Rapids,27,20,19,1,1804,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106,Clint Mathis\Clint-Mathis,us USA,MFFW,MetroStars,23,21,20,1,1796,86,13,13,1,2,23,6,0,31,0.65,1.30,0.60,1.25,1.55,1.15,0.30
107,Tyrone Marshall\Tyrone-Marshall,jm JAM,DF,Miami Fusion,25,23,21,2,1780,77,1,1,0,0,27,4,2,4,0.05,0.10,0.05,0.10,0.20,1.37,0.30
108,John Doyle\John-Doyle,us USA,DF,San Jose Earthquakes,33,20,20,0,1776,89,4,1,0,0,41,3,1,11,0.20,0.25,0.20,0.25,0.56,2.08,0.20
109,Billy Walsh\Billy-Walsh,us USA,MF,MetroStars,24,24,19,5,1756,73,3,0,0,0,37,6,1,11,0.15,0.15,0.15,0.15,0.56,1.90,0.36
110,Jeff Cunningham\Jeff-Cunningham,us USA,FW,Columbus Crew,23,29,16,13,1755,61,2,3,0,0,23,3,0,19,0.10,0.26,0.10,0.26,0.97,1.18,0.15
111,Mark Santel\Mark-Santel,us USA,MF,Dallas Burn,31,25,18,7,1744,70,1,2,0,0,23,0,0,7,0.05,0.15,0.05,0.15,0.36,1.19,0.00
112,Harut Karapetyan\Harut-Karapetyan,am ARM,FW,San Jose Earthquakes,27,24,22,2,1744,73,2,1,0,0,26,1,0,19,0.10,0.15,0.10,0.15,0.98,1.34,0.05
113,Tom Presthus\Tom-Presthus,us USA,GK,D.C. United,24,20,20,0,1741,87,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,Eddie Pope\Eddie-Pope,us USA,DF,D.C. United,26,21,21,0,1740,83,0,1,0,0,30,0,0,6,0.00,0.05,0.00,0.05,0.31,1.55,0.00
115,Ancil Elcock\Ancil-Elcock,tt TRI,DF,Columbus Crew,30,19,18,1,1679,88,1,2,0,0,37,5,0,8,0.05,0.16,0.05,0.16,0.43,1.98,0.27
116,Mauricio Ramos\Mauricio-Ramos,bo BOL,MF,New England Revolution,30,21,21,0,1677,80,3,5,0,0,14,6,0,15,0.16,0.43,0.16,0.43,0.81,0.75,0.32
117,Ricardo Iribarren\Ricardo-Iribarren,ar ARG,DF,Dallas Burn,32,22,21,1,1675,76,0,1,0,0,53,10,0,1,0.00,0.05,0.00,0.05,0.05,2.85,0.54
118,Mike Burns\Mike-Burns,us USA,DF,San Jose Earthquakes,29,18,18,0,1660,92,0,2,0,0,14,5,0,4,0.00,0.11,0.00,0.11,0.22,0.76,0.27
119,Tab Ramos\Tab-Ramos,us USA,MF,MetroStars,33,20,18,2,1660,83,2,3,0,0,28,4,1,8,0.11,0.27,0.11,0.27,0.43,1.52,0.27
120,Mario Gori\Mario-Gori,ar ARG,MF,Columbus Crew,26,25,19,6,1656,66,1,0,0,0,33,5,0,2,0.05,0.05,0.05,0.05,0.11,1.79,0.27
121,Bobby Convey\Bobby-Convey,us USA,FWMF,D.C. United,16,22,18,4,1615,73,0,4,0,0,30,5,0,20,0.00,0.22,0.00,0.22,1.11,1.67,0.28
122,Paul Dougherty\Paul-Dougherty,eng ENG,MFFW,Colorado Rapids,33,24,19,5,1596,67,0,1,0,0,22,2,0,9,0.00,0.06,0.00,0.06,0.51,1.24,0.11
123,Andrew Lewis\Andrew-Lewis,us USA,DF,Chicago Fire,25,19,17,2,1589,84,1,0,0,0,17,2,1,1,0.06,0.06,0.06,0.06,0.06,0.96,0.17
124,Alex Comas\Alex-Comas,co COL,FW,MetroStars,28,25,17,8,1571,63,13,2,3,3,43,3,0,34,0.74,0.86,0.57,0.69,1.95,2.46,0.17
125,Mauricio Solís\Mauricio-Solis,cr CRC,MF,San Jose Earthquakes,27,18,17,1,1565,87,2,0,0,0,28,4,1,10,0.12,0.12,0.12,0.12,0.58,1.61,0.29
126,Khodadad Azizi\Khodadad-Azizi,ir IRN,FW,San Jose Earthquakes,28,20,18,2,1548,77,3,2,0,0,19,4,1,16,0.17,0.29,0.17,0.29,0.93,1.10,0.29
127,Brian McBride\Brian-McBride,us USA,FW,Columbus Crew,27,18,17,1,1523,85,6,3,1,1,12,1,0,22,0.35,0.53,0.30,0.47,1.30,0.71,0.06
128,Danny Califf\Danny-Califf,us USA,DF,LA Galaxy,19,18,16,2,1518,84,1,0,0,0,35,6,0,4,0.06,0.06,0.06,0.06,0.24,2.08,0.36
129,Zak Ibsen\Zak-Ibsen,us USA,DF,LA Galaxy,27,27,15,12,1516,56,0,2,0,0,29,3,0,12,0.00,0.12,0.00,0.12,0.71,1.72,0.18
130,Manny Lagos\Manny-Lagos,us USA,MF,Tampa Bay Mutiny,28,27,17,10,1500,56,8,7,0,0,15,2,0,20,0.48,0.90,0.48,0.90,1.20,0.90,0.12
131,Chris Armas\Chris-Armas,pr PURus USA,MF,Chicago Fire,27,16,16,0,1479,92,0,3,0,0,35,2,0,5,0.00,0.18,0.00,0.18,0.30,2.13,0.12
132,John DeBrito\John-DeBrito,us USA,DFMF,Columbus Crew,31,20,17,3,1466,73,0,0,0,0,30,7,0,1,0.00,0.00,0.00,0.00,0.06,1.84,0.43
133,Mauricio Wright\Mauricio-Wright,cr CRC,DF,New England Revolution,29,16,16,0,1464,92,1,1,0,0,17,8,0,5,0.06,0.12,0.06,0.12,0.31,1.05,0.49
134,Ramiro Corrales\Ramiro-Corrales,us USA,MFDF,MetroStars,22,22,15,7,1460,66,0,1,0,0,24,5,1,2,0.00,0.06,0.00,0.06,0.12,1.48,0.37
135,Dan Calichman\Dan-Calichman,us USA,MFDF,San Jose Earthquakes,31,16,16,0,1442,90,0,1,0,0,23,4,0,2,0.00,0.06,0.00,0.06,0.12,1.44,0.25
136,Lazo Alavanja\Lazo-Alavanja,us USA,MF,Dallas Burn,23,24,15,9,1440,60,2,2,0,0,32,4,0,5,0.12,0.25,0.12,0.25,0.31,2.00,0.25
137,Raúl Díaz Arce\Raul-Diaz-Arce,sv SLV,FW,D.C. United,29,16,15,1,1422,89,5,1,0,0,20,2,0,23,0.32,0.38,0.32,0.38,1.46,1.27,0.13
138,Luis Hernández\Luis-Hernandez,mx MEX,FW,LA Galaxy,31,16,15,1,1407,88,4,2,1,1,38,5,0,24,0.26,0.38,0.19,0.32,1.54,2.43,0.32
